,label,message
1023,ham,We still on for tonight?
983,spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl."
2259,ham,Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish.
441,ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.
3666,ham,Ha... U jus ate honey ar? So sweet...
2840,ham,"Easy mate, * guess the quick drink was bit ambitious."
2206,ham,"Haha, my legs and neck are killing me and my amigos are hoping to end the night with a burn, think I could swing by in like an hour?"
710,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
1693,ham,Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God.
4326,ham,Am only searching for good dual sim mobile pa.
814,ham,I borrow ur bag ok.
1565,ham,Tmrw. Im finishing 9 doors
4001,spam,"This is the 2nd time we have tried to contact u. U have won the £400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate"
4995,ham,My drive can only be read. I need to write
4270,ham,Beauty sleep can help ur pimples too.
492,spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
1855,ham,They did't play one day last year know even though they have very good team.. Like india.
625,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
4036,spam,YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
3194,ham,I will lick up every drop :) are you ready to use your mouth as well?
1825,ham,Sent me ur email id soon
4952,ham,hi baby im sat on the bloody bus at the mo and i wont be home until about 7:30 wanna do somethin later? call me later ortxt back jess xx
4713,ham,Thats cool princess! I will cover your face in hot sticky cum :)
3843,ham,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
1468,ham,I wont touch you with out your permission.
1124,ham,Good morning princess! How are you?
3844,ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...
2839,ham,Were trying to find a Chinese food place around here
1685,ham,Do you want bold 2 or bb torch
3489,ham,Still i have not checked it da. . .
5172,ham,"Aight, text me tonight and we'll see what's up"
229,ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
577,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
5083,ham,Aiya we discuss later lar... Pick ü up at 4 is it?
3954,spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!
1301,ham,Those cocksuckers. If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
1469,spam,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL
730,ham,Dunno y u ask me.
2787,ham,cThen i thk shd b enuff.. Still got conclusion n contents pg n references.. I'll b doing da contents pg n cover pg..
4445,ham,COME BACK TO TAMPA FFFFUUUUUUU
1077,ham,Where can download clear movies. Dvd copies.
1971,ham,Nvm it's ok...
