,label,message
3057,ham,Webpage s not available!
3637,ham,ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX
4617,ham,Ü called dad oredi...
1877,ham,Watching tv now. I got new job :)
252,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
2673,ham,Super msg da:)nalla timing.
4069,spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
2338,ham,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
4104,spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599
5506,ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8
802,ham,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
4750,ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
2178,ham,Oh k :)why you got job then whats up?
579,spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
4889,ham,You have to pls make a note of all she.s exposed to. Also find out from her school if anyone else was vomiting. Is there a dog or cat in the house? Let me know later.
5539,ham,Just sleeping..and surfing
3089,ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
32,ham,K tell me anything about you.
4722,ham,"Yup. Anything lor, if u dun wan it's ok..."
4462,ham,"Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha."
2756,ham,We r outside already.
5282,ham,I have gone into get info bt dont know what to do
4900,ham,"Haha, that was the first person I was gonna ask"
767,ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
4751,ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
1886,ham,I think asking for a gym is the excuse for lazy people. I jog.
2103,ham,Audrie lousy autocorrect
4844,ham,I need details about that online job.
300,ham,Need a coffee run tomo?Can't believe it's that time of week already
1950,ham,Wait 2 min..stand at bus stop
5315,ham,Hahaha..use your brain dear
5514,ham,Oh... Okie lor...We go on sat... 
421,ham,Yes:)from last week itself i'm taking live call.
1478,ham,Why you keeping me away like this
5559,ham,if you aren't here in the next  &lt;#&gt;  hours imma flip my shit
865,ham,Dude ive been seeing a lotta corvettes lately
3760,ham,"GOD ASKED, ""What is forgiveness?"" A little child gave lovely reply, ""It is d wonderful fruit that a tree gives when it is being hurt by a stone.. Good night......"
4702,ham,I liked the new mobile
1261,ham,"Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
4454,ham,Or I guess  &lt;#&gt;  min
4878,ham,The world's most happiest frnds never have the same characters... Dey just have the best understanding of their differences...
4124,ham,"Cool, want me to go to kappa or should I meet you outside mu"
1203,ham,"Me also da, i feel yesterday night  wait til 2day night dear."
2899,ham,If you r @ home then come down within 5 min
2875,ham,Crucify is c not s. You should have told me earlier.
1840,ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!
4666,ham,Ok set let u noe e details later...
379,ham,Keep my payasam there if rinu brings
1579,ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..
26,ham,Lol your always so convincing.
2096,ham,"Probably, want to pick up more?"
2154,ham,I dont have i shall buy one dear
963,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
2868,ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
4757,ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..
5562,ham,Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
